movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
8,Tom and Huck (1995),Adventure|Children
13,Balto (1995),Adventure|Animation|Children
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
24,Powder (1995),Drama|Sci-Fi
27,Now and Then (1995),Children|Drama
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX
34,Babe (1995),Children|Drama
37,Across the Sea of Time (1995),Documentary|IMAX
38,It Takes Two (1995),Children|Comedy
41,Richard III (1995),Drama|War
44,Mortal Kombat (1995),Action|Adventure|Fantasy
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
54,"Big Green, The (1995)",Children|Comedy
56,Kids of the Round Table (1995),Adventure|Children|Fantasy
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
73,"Misérables, Les (1995)",Drama|War
76,Screamers (1995),Action|Sci-Fi|Thriller
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
87,Dunston Checks In (1996),Children|Comedy
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
110,Braveheart (1995),Action|Drama|War
113,Before and After (1996),Drama|Mystery
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
146,"Amazing Panda Adventure, The (1995)",Adventure|Children
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
155,Beyond Rangoon (1995),Adventure|Drama|War
157,Canadian Bacon (1995),Comedy|War
158,Casper (1995),Adventure|Children
159,Clockers (1995),Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,Reckless (1995),Comedy|Fantasy
196,Species (1995),Horror|Sci-Fi
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
201,Three Wishes (1995),Drama|Fantasy
208,Waterworld (1995),Action|Adventure|Sci-Fi
210,Wild Bill (1995),Western
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
214,Before the Rain (Pred dozhdot) (1994),Drama|War
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
241,Fluke (1995),Children|Drama
242,Farinelli: il castrato (1994),Drama|Musical
243,Gordy (1995),Children|Comedy|Fantasy
244,Gumby: The Movie (1995),Animation|Children
250,Heavyweights (Heavy Weights) (1995),Children|Comedy
256,Junior (1994),Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
262,"Little Princess, A (1995)",Children|Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
303,"Quick and the Dead, The (1995)",Action|Thriller|Western
313,"Swan Princess, The (1994)",Animation|Children
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
316,Stargate (1994),Action|Adventure|Sci-Fi
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
320,Suture (1993),Film-Noir|Thriller
327,Tank Girl (1995),Action|Comedy|Sci-Fi
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
332,Village of the Damned (1995),Horror|Sci-Fi
335,Underneath (1995),Mystery|Thriller
336,"Walking Dead, The (1995)",Drama|War
338,Virtuosity (1995),Action|Sci-Fi|Thriller
340,"War, The (1994)",Adventure|Drama|War
343,"Baby-Sitters Club, The (1995)",Children
346,Backbeat (1993),Drama|Musical
347,Bitter Moon (1992),Drama|Film-Noir|Romance
350,"Client, The (1994)",Drama|Mystery|Thriller
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
355,"Flintstones, The (1994)",Children|Comedy|Fantasy
356,Forrest Gump (1994),Comedy|Drama|Romance|War
362,"Jungle Book, The (1994)",Adventure|Children|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,Maverick (1994),Adventure|Comedy|Western
374,Richie Rich (1994),Children|Comedy
379,Timecop (1994),Action|Sci-Fi|Thriller
383,Wyatt Earp (1994),Western
389,"Colonel Chabert, Le (1994)",Drama|Romance|War
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
393,Street Fighter (1994),Action|Adventure|Fantasy
395,Desert Winds (1995),Drama|Fantasy|Romance
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
410,Addams Family Values (1993),Children|Comedy|Fantasy
416,Bad Girls (1994),Western
421,Black Beauty (1994),Adventure|Children|Drama
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
435,Coneheads (1993),Comedy|Sci-Fi
442,Demolition Man (1993),Action|Adventure|Sci-Fi
451,Flesh and Bone (1993),Drama|Mystery|Romance
455,Free Willy (1993),Adventure|Children|Drama
458,Geronimo: An American Legend (1993),Drama|Western
465,Heaven & Earth (1993),Action|Drama|War
466,Hot Shots! Part Deux (1993),Action|Comedy|War
473,In the Army Now (1994),Comedy|War
477,What's Love Got to Do with It? (1993),Drama|Musical
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
484,Lassie (1994),Adventure|Children
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
487,Lightning Jack (1994),Comedy|Western
492,Manhattan Murder Mystery (1993),Comedy|Mystery
502,"Next Karate Kid, The (1994)",Action|Children|Romance
504,No Escape (1994),Action|Drama|Sci-Fi
506,Orlando (1992),Drama|Fantasy|Romance
512,"Puppet Masters, The (1994)",Horror|Sci-Fi
513,Radioland Murders (1994),Comedy|Mystery|Romance
517,Rising Sun (1993),Action|Drama|Mystery
519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
527,Schindler's List (1993),Drama|War
531,"Secret Garden, The (1993)",Children|Drama
533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
541,Blade Runner (1982),Action|Sci-Fi|Thriller
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
548,Terminal Velocity (1994),Action|Mystery|Thriller
549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
553,Tombstone (1993),Action|Drama|Western
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
575,"Little Rascals, The (1994)",Children|Comedy
577,Andre (1994),Adventure|Children|Drama
586,Home Alone (1990),Children|Comedy
587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama|Western
594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
596,Pinocchio (1940),Animation|Children|Fantasy|Musical
598,Window to Paris (Okno v Parizh) (1994),Comedy|Fantasy
599,"Wild Bunch, The (1969)",Adventure|Western
606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
616,"Aristocats, The (1970)",Animation|Children
628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
632,Land and Freedom (Tierra y libertad) (1995),Drama|War
641,"Little Indian, Big City (Un indien dans la ville) (1994)",Adventure|Children|Comedy
647,Courage Under Fire (1996),Action|Crime|Drama|War
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
652,"301, 302 (301/302) (1995)",Horror|Mystery|Thriller
653,Dragonheart (1996),Action|Adventure|Fantasy
658,Billy's Holiday (1995),Drama|Musical
661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
665,Underground (1995),Comedy|Drama|War
666,All Things Fair (Lust och fägring stor) (1995),Drama|Romance|War
671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
674,Barbarella (1968),Adventure|Comedy|Sci-Fi
676,They Bite (1996),Comedy|Horror|Sci-Fi
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
688,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
692,Solo (1996),Action|Sci-Fi|Thriller
695,True Crime (1996),Mystery|Thriller
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical
711,Flipper (1996),Adventure|Children
714,Dead Man (1995),Drama|Mystery|Western
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
737,Barb Wire (1996),Action|Sci-Fi
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
746,Force of Evil (1948),Film-Noir
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
754,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children
755,Kim (1950),Children|Drama
760,Stalingrad (1993),Drama|War
775,Spirits of the Dead (1968),Horror|Mystery
777,Pharaoh's Army (1995),War
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
792,"Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)",Fantasy
800,Lone Star (1996),Drama|Mystery|Western
801,Harriet the Spy (1996),Children|Comedy
808,Alaska (1996),Adventure|Children
810,Kazaam (1996),Children|Comedy|Fantasy
815,Power 98 (1996),Action|Mystery|Thriller
822,Hedd Wyn (1992),Drama|Romance|War
824,Kaspar Hauser (1993),Drama|Mystery
828,"Adventures of Pinocchio, The (1996)",Adventure|Children
829,Joe's Apartment (1996),Comedy|Fantasy|Musical
837,Matilda (1996),Children|Comedy|Fantasy
840,House Arrest (1996),Children|Comedy
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
869,Kansas City (1996),Crime|Drama|Musical|Thriller
880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
881,First Kid (1996),Children|Comedy
885,Bogus (1996),Children|Drama|Fantasy
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War
899,Singin' in the Rain (1952),Comedy|Musical|Romance
900,"American in Paris, An (1951)",Musical|Romance
901,Funny Face (1957),Comedy|Musical
903,Vertigo (1958),Drama|Mystery|Romance|Thriller
904,Rear Window (1954),Mystery|Thriller
907,"Gay Divorcee, The (1934)",Comedy|Musical|Romance
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
917,"Little Princess, The (1939)",Children|Drama
918,Meet Me in St. Louis (1944),Musical
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
920,Gone with the Wind (1939),Drama|Romance|War
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
923,Citizen Kane (1941),Drama|Mystery
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
925,Golden Earrings (1947),Adventure|Romance|War
